saffron,Spice,Flavoring/Other,,,7.9,,,3.3,8.7,15.7,,0.625,,,,,,,,9.06,1.5,,0.4,,,,8.625,5.375,,,,0.03125,,0.0625,0.03125,0.4375,0.1875,0.5,,,,,0.325,,,,,,,,,
salmon,Fish,Meat,,,308,,,56.5,165.5,96.5,,,,,,,,,,,,,2.5,,,,242,20,,,,4,,1,,,,,,,,,22,,,4,,,,,,
salmon trout,Fish,Meat,,,39,,,,,0,,,,,,,,,,,,,,,,,18,,,,,0,,19,,,,,,,,,,,,,,,,,,
salted cod,Fish,Meat,,,497,,,565,1169,1793,,,,,,,,,,,,,0,,,,1305,289,,,,49,,,,,,,,,,,88,,,,,,,,,
sandpipers,Meat,Meat,"Bird, wild",,167,,,125,256,25,,,,,,,,,,,,,0,,,,311,,,,,6,,41,,,,,,,,,,,,,,,,,,
sardines,Fish,Meat,,,,,,,,,,,,,,,,,,96,,,0,,,,,3648,,,,48,,,,,,,,,,,,,,,,,,,,
sheep,Meat,Meat,Other,,"1,268.5",,,"1,164.75","1,172.25",1381,,,,,,,,,,,,,6,,,2,"1,093.5",190.5,,,,1,,10.25,,,,,,,,,4,,,,,,,,,
small birds,Meat,Meat,"Bird, wild",,649,,,50,296,391,,,,,,,,,,,,,0,,,,118,,,,,0,,426,,,,,,,,,135,,,,,,,,,
Small sheep cheese,Dairy,Dairy,,,1071,,,204,515,553,,,,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
"small, edible fish",Fish,Meat,,,5280,,,4032,3576,504,,,,,,,,,,,,,288,,,,1188,,,,,156,,,,,,,,,,,84,,,,,,,,,
smoked fish,Fish,Meat,,,15480,,,390,4080,0,,,,,,,,,,,,,0,,,,9180,,,,,750,,,,,,,,,,,,,,,,,,,,
snails,Seafood,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,
snow bunting,Meat,Meat,"Bird, wild",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparrows & skylarks,Meat,Meat,"Bird, wild",,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,
spiced gudgeon,Fish,Meat,,,143,,,,66,0,,,,,,,,,,,,,0,,,,34,,,,,0,,,,,,,,,,,,,,,,,,,,
spicy sauerkraut,Vegetable,Fruits and Vegetables,,,528,,,41555,240,240,,72,,,,,,,,,,,48,,,192,,,,,,0,,0,,,,,,,,,,,,,,,,,,
starling,Meat,Meat,"Bird, wild",,107,,,24,19,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
sturgeon,Fish,Meat,,,1,,,,,1,,,,,,,,,,,,,,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,
suckling pig,Meat,Meat,Pork,,432,,,227,160,170,,,,,,,,,,,,,0,,,2,279,105,,,,0,,4,3,,,,,,,,7,,,,,,,,,
sugar,Sugar,Flavoring/Other,,,2333,,,"1,524.4",3414,"3,296.25",,42,,,,,,,,"4,190.5",533.625,,77,,,,"6,365.5","2,311.5",,,,30,,77.5,64,146,92,40,,,,,145.75,,,,,,,,,
swans,Meat,Meat,"bird, wild",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tench,Fish,Meat,,,1,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thrush,Meat,Meat,"Bird, wild",,1680,,,116,345,2351,,,,,,,,,,,,,12,,,,18,2068,,,,,,46,,,,,,,,,,,,,,,,,,
turbot,Fish,Meat,,,,,,1,,0,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,
turkey,Meat,Meat,"bird, fowl",,196,,,133,168,358,,,,,,,,,,,,,0,,,3,79,293,7,,,6,,21,5,,,,,,,,77,,136,,,,,,,
various small fish ,Fish,Meat,,,96,,,132,156,340,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veal,Meat,Meat,Beef,,977.85,,,523.13,685.85,779.75,,,,,,,,,,,,,3,,,18,"1,646.5",148.75,,,,4,,20,12.5,15,14.5,,,,,,68.25,,159,,,,,,6,
vimba bream,Fish,Meat,,,20,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water mannagrass,Grain,Grain,,,120.5,,,45.5,97,51,,,,,,,,,,,,,1,,,,53,9,,,,0,,,,,,,,,,,4,,,,,,,,,
waxwing,Meat,Meat,"Bird, wild",,343,,,,580,186,,,,,,,,,,,,,,,,15,2076,,,,,,,,,,,,,,,,130,,240,,,,,,,
Wels catfish,Fish,Meat,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
westphalian ham,Meat,Meat,pork,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat flour,Grain,Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,
wild boar,Meat,Meat,"pork, wild",,41,,,31.37,30.75,86.25,,,,,,,,,,,,,0.5,,,,37,3,,,,94,,0,,,,,,,,,1,,1,,,,,,,
wild geese,Meat,Meat,"bird, wild",,20,,,12,41,25,,,,,,,,,,,,,0,,,,47,19,,,,,,,,,,,,,,,,,,,,,,,,
wine vinegar,Acid,Flavoring/Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,
